FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:38:12 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

 +    4:34|    23:52| Step 74 Time= 15.91489 Dt= 0.830647 Nodes=11699 Cells=23076 DOF=104323 RMS ERR= 0.001035 MAX ERR= 0.002004 TIME ERR(V1 )= 5.387e-4 Lanczos/DInv=(573) MEM(KiB)=282947
 +    4:37|    24:08| Step 75 Time= 16.81001 Dt= 0.895119 Nodes=11700 Cells=23077 DOF=104329 RMS ERR= 0.001042 MAX ERR= 0.002051 TIME ERR(V1 )= 6.992e-4 Lanczos/DInv=(542) MEM(KiB)=282951
 +    4:40|    24:24| Step 76 Time= 17.75892 Dt= 0.948910 Nodes=11704 Cells=23084 DOF=104362 RMS ERR= 0.001043 MAX ERR= 0.002062 TIME ERR(V1 )= 4.073e-4 Lanczos/DInv=(536) MEM(KiB)=282972
 +    4:44|    24:43| Step 77 Time= 18.80056 Dt= 1.041640 Nodes=11707 Cells=23089 DOF=104386 RMS ERR= 0.001045 MAX ERR= 0.002036 TIME ERR(V1 )= 7.474e-4 Lanczos/DInv=(655) MEM(KiB)=282991
 +    4:48|    25:01| Step 78 Time= 20.00000 Dt= 1.199440 Nodes=11711 Cells=23096 DOF=104419 RMS ERR= 0.001045 MAX ERR= 0.002043 TIME ERR(V1 )= 8.011e-4 Lanczos/DInv=(662) MEM(KiB)=283013
 +    4:52|    25:18| Step 79 Time= 21.09977 Dt= 1.099766 Nodes=11715 Cells=23104 DOF=104455 RMS ERR= 0.001042 MAX ERR= 0.001999 TIME ERR(V1 )= 5.582e-4 Lanczos/DInv=(516) MEM(KiB)=284151
 +    4:55|    25:38| Step 80 Time= 22.28219 Dt= 1.182428 Nodes=11715 Cells=23104 DOF=104455 RMS ERR= 0.001043 MAX ERR= 0.002007 TIME ERR(V1 )= 7.201e-4 Lanczos/DInv=(690) MEM(KiB)=284151
 +    5:00|    26:04| Step 81 Time= 23.53343 Dt= 1.251233 Nodes=11718 Cells=23107 DOF=104473 RMS ERR= 0.001047 MAX ERR= 0.002031 TIME ERR(V1 )= 2.529e-4 Lanczos/DInv=(891) MEM(KiB)=284163
 +    5:03|    26:22| Step 82 Time= 24.95405 Dt= 1.420619 Nodes=11725 Cells=23120 DOF=104533 RMS ERR= 0.001039 MAX ERR= 0.002021 TIME ERR(V1 )= 4.919e-4 Lanczos/DInv=(580) MEM(KiB)=284204
 +    5:08|    26:46| Step 83 Time= 26.49400 Dt= 1.539955 Nodes=11727 Cells=23124 DOF=104551 RMS ERR= 0.001036 MAX ERR= 0.002003 TIME ERR(V1 )= 8.536e-4 Lanczos/DInv=(850) MEM(KiB)=284217
 +    5:20|    27:47| Step 84 Time= 28.10701 Dt= 1.613009 Nodes=11728 Cells=23125 DOF=104557 RMS ERR= 0.001034 MAX ERR= 0.002023 TIME ERR(V1 )= 3.266e-5 Lanczos/DInv=(1000,1000,48) MEM(KiB)=284221
 +    5:23|    28:06| Step 85 Time= 30.00000 Dt= 1.892991 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 0.001029 MAX ERR= 0.001995 TIME ERR(V1 )= 5.527e-4 Lanczos/DInv=(641) MEM(KiB)=284233
 +    5:28|    28:26| Step 86 Time= 32.01626 Dt= 2.016261 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 0.001026 MAX ERR= 0.001995 TIME ERR(V1 )= 7.818e-4 Lanczos/DInv=(720) MEM(KiB)=284432
 +    5:31|    28:44| Step 87 Time= 34.28052 Dt= 2.264261 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 0.001022 MAX ERR= 0.001993 TIME ERR(V1 )= 2.953e-4 Lanczos/DInv=(586) MEM(KiB)=284432
 +    5:35|    29:05| Step 88 Time= 36.82251 Dt= 2.541985 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 0.001018 MAX ERR= 0.001987 TIME ERR(V1 )= 1.542e-4 Lanczos/DInv=(753) MEM(KiB)=284432
 +    5:39|    29:22| Step 89 Time= 40.00000 Dt= 3.177493 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 0.001012 MAX ERR= 0.001979 TIME ERR(V1 )= 7.426e-5 Lanczos/DInv=(588) MEM(KiB)=284432
 +    5:43|    29:41| Step 90 Time= 42.99841 Dt= 2.998414 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 0.001007 MAX ERR= 0.001971 TIME ERR(V1 )= 4.048e-5 Lanczos/DInv=(571) MEM(KiB)=284561
 +    5:46|    29:58| Step 91 Time= 46.74643 Dt= 3.748017 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 0.001002 MAX ERR= 0.001962 TIME ERR(V1 )= 6.723e-5 Lanczos/DInv=(591) MEM(KiB)=284561
 +    5:49|    30:16| Step 92 Time= 50.00000 Dt= 3.253569 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.971e-4 MAX ERR= 0.001955 TIME ERR(V1 )= 4.032e-5 Lanczos/DInv=(583) MEM(KiB)=284561
 +    5:53|    30:33| Step 93 Time= 54.68502 Dt= 4.685022 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.912e-4 MAX ERR= 0.001946 TIME ERR(V1 )= 1.021e-4 Lanczos/DInv=(566) MEM(KiB)=284561
 +    5:56|    30:48| Step 94 Time= 60.00000 Dt= 5.314978 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.853e-4 MAX ERR= 0.001936 TIME ERR(V1 )= 1.197e-4 Lanczos/DInv=(517) MEM(KiB)=284561
 +    6:00|    31:05| Step 95 Time= 65.85628 Dt= 5.856277 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.797e-4 MAX ERR= 0.001926 TIME ERR(V1 )= 1.452e-4 Lanczos/DInv=(512) MEM(KiB)=284689
 +    6:03|    31:26| Step 96 Time= 70.00000 Dt= 4.143723 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.761e-4 MAX ERR= 0.001920 TIME ERR(V1 )= 7.280e-5 Lanczos/DInv=(728) MEM(KiB)=284689
 +    6:07|    31:42| Step 97 Time= 76.99623 Dt= 6.996225 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.709e-4 MAX ERR= 0.001910 TIME ERR(V1 )= 3.359e-4 Lanczos/DInv=(482) MEM(KiB)=284689
 +    6:10|    31:59| Step 98 Time= 80.00000 Dt= 3.003775 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.690e-4 MAX ERR= 0.001906 TIME ERR(V1 )= 3.425e-5 Lanczos/DInv=(569) MEM(KiB)=284689
 +    6:14|    32:13| Step 99 Time= 87.78278 Dt= 7.782783 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.647e-4 MAX ERR= 0.001897 TIME ERR(V1 )= 2.032e-4 Lanczos/DInv=(476) MEM(KiB)=284689
 +    6:22|    32:59| Step 100 Time= 90.00000 Dt= 2.217217 Nodes=11730 Cells=23129 DOF=104575 RMS ERR= 9.636e-4 MAX ERR= 0.001895 TIME ERR(V1 )= 4.342e-6 Lanczos/DInv=(1000,701) MEM(KiB)=284689
